model,loss,Replacement,Submodels,Voting,Ensemble,Sessions,Trials
model_name,0.5916315913200378,TRUE,16,median,average,64,50
model_name,0.5916315913200378,TRUE,16,median,average,64,50
model_name,0.5916315913200378,TRUE,16,median,average,64,50
model_name,0.5916315913200378,TRUE,16,median,average,64,50
model_name,0.5916315317153931,TRUE,16,median,average,64,50
model_name,0.5916315317153931,TRUE,16,median,average,64,50
model_name,0.5916315913200378,TRUE,16,median,average,64,50
model_name,0.5916315913200378,TRUE,16,median,average,64,50
model_name,0.5986772179603577,TRUE,16,median,average,64,100
model_name,0.5986772179603577,TRUE,16,median,average,64,100
model_name,0.5986772179603577,TRUE,16,median,average,64,100
model_name,0.5986772179603577,TRUE,16,median,average,64,100
model_name,0.5986771583557129,TRUE,16,median,average,64,100
model_name,0.5986771583557129,TRUE,16,median,average,64,100
model_name,0.5986772179603577,TRUE,16,median,average,64,100
model_name,0.5986771583557129,TRUE,16,median,average,64,100
model_name,0.5986772179603577,TRUE,16,median,average,64,100
model_name,0.5986772179603577,TRUE,16,median,average,64,100
